STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,May,14,Daylight,,1
Alabama,May,4,Dark - Unknown Lighting,,1
Alabama,May,8,Daylight,,1
Alabama,May,14,Daylight,,1
Alabama,May,13,Daylight,,2
Alabama,May,4,Dark - Unknown Lighting,,1
Alabama,May,23,Dark - Not Lighted,,1
Alabama,May,0,Dark - Not Lighted,,1
Alabama,May,12,Daylight,,1
Alabama,May,19,Dark - Not Lighted,,1
Alabama,May,1,Dark - Not Lighted,,1
Alabama,May,7,Daylight,,1
Alabama,May,3,Dark - Not Lighted,,2
Alabama,May,19,Dark - Not Lighted,,1
Alabama,May,22,Dark - Not Lighted,,1
Alabama,May,22,Dark - Lighted,,1
Alabama,May,0,Dark - Not Lighted,,1
Alabama,May,7,Dawn,,1
Alabama,May,12,Daylight,,1
Alabama,May,12,Daylight,,1
Alabama,May,4,Dark - Not Lighted,,1
Alabama,May,10,Daylight,,1
Alabama,May,11,Daylight,,1
Alabama,May,9,Daylight,,1
Alabama,May,21,Dark - Not Lighted,,1
Alabama,May,4,Dark - Not Lighted,,1
Alabama,May,14,Daylight,,1
Alabama,May,14,Daylight,,1
Alabama,May,19,Dusk,,1
Alabama,May,18,Daylight,,1
Alabama,May,23,Dark - Not Lighted,,4
Alabama,May,5,Dawn,,1
Alabama,May,23,Dark - Not Lighted,,1
Alabama,June,19,Daylight,,1
Alabama,June,12,Daylight,,1
Alabama,June,22,Dark - Not Lighted,,1
Alabama,June,18,Daylight,,1
Alabama,June,21,Dark - Lighted,,1
Alabama,May,19,Dark - Not Lighted,,1
Alabama,April,22,Dark - Lighted,,1
Alabama,May,17,Daylight,,1
Alabama,May,22,Dark - Lighted,,1
Alabama,May,18,Daylight,,1
Alabama,May,21,Dark - Not Lighted,,1
Alabama,May,11,Daylight,,1
Alabama,May,18,Dark - Lighted,,1
Alabama,May,1,Dark - Not Lighted,,1
Alabama,May,14,Daylight,,1
Alabama,May,10,Daylight,,1
Alabama,May,10,Daylight,,1
Alabama,May,18,Daylight,,1
Alabama,May,20,Dark - Lighted,,1
Alabama,June,12,Daylight,,1
Alabama,June,22,Dark - Not Lighted,,1
Alabama,June,1,Dark - Not Lighted,,2
Alabama,June,16,Daylight,,1
Alabama,June,9,Daylight,,1
Alabama,June,6,Daylight,,1
Alabama,June,12,Daylight,,1
Alabama,June,7,Daylight,,1
Alabama,June,12,Daylight,,2
Alabama,June,11,Daylight,,1
Alabama,June,13,Daylight,,1
Alabama,June,17,Daylight,,4
Alabama,June,8,Daylight,,2
Alabama,June,16,Daylight,,2
Alabama,June,1,Dark - Not Lighted,,1
Alabama,June,19,Daylight,,1
Alabama,June,7,Dawn,,2
Alabama,June,17,Daylight,,1
Alabama,June,18,Daylight,,1
Alabama,June,4,Dawn,,1
Alabama,June,6,Daylight,,1
Alabama,June,12,Daylight,,1
Alabama,June,13,Daylight,,2
Alabama,June,21,Dark - Lighted,,1
Alabama,June,17,Daylight,,1
Alabama,June,1,Dark - Lighted,,1
Alabama,June,15,Daylight,,1
Alabama,June,10,Daylight,,2
Alabama,June,13,Daylight,,1
Alabama,June,1,Dark - Lighted,,1
Alabama,June,2,Dark - Not Lighted,,1
Alabama,June,13,Daylight,,1
Alabama,June,17,Daylight,,1
Alabama,June,19,Dusk,,1
Alabama,June,19,Daylight,,1
Alabama,June,8,Daylight,,1
Alabama,June,20,Dark - Not Lighted,,1
Alabama,June,0,Dark - Lighted,,1
Alabama,June,4,Dark - Lighted,,1
Alabama,June,10,Daylight,,1
Alabama,June,14,Daylight,,1
Alabama,June,13,Daylight,,1
Alabama,June,21,Dark - Lighted,,1
Alabama,June,0,Dark - Not Lighted,,1
Alabama,June,22,Dark - Lighted,,1
Alabama,June,14,Daylight,,1
Alabama,June,17,Daylight,,1
Alabama,June,22,Dark - Lighted,,1
Alabama,June,4,Dark - Not Lighted,,1
Alabama,June,12,Daylight,,1
Alabama,June,10,Daylight,,1
Alabama,June,14,Daylight,,1
Alabama,June,6,Daylight,,1
Alabama,June,20,Daylight,,1
Alabama,June,12,Daylight,,1
Alabama,June,11,Daylight,,1
Alabama,June,17,Daylight,,1
Alabama,June,21,Dark - Not Lighted,,1
Alabama,July,4,Dark - Lighted,,1
Alabama,July,10,Daylight,,1
Alabama,July,13,Daylight,,1
Alabama,July,20,Dark - Not Lighted,,1
Alabama,July,1,Dark - Unknown Lighting,,1
Alabama,July,19,Dusk,,1
Alabama,July,16,Daylight,,1
